0,-9.17309333333333
0.001,-333.323928529362
0.002,-332.990903379328
0.003,-332.657875891982
0.004,-332.324845878469
0.005,-331.991813137162
0.006,-331.658777452998
0.007,-331.325738596787
0.008,-330.992696324513
0.009,-330.659650376611
0.01,-330.326600477225
0.011,-329.993546333461
0.012,-329.660487634615
0.013,-329.327424051394
0.014,-328.994355235133
0.015,-328.661280816998
0.016,-328.328200407189
0.017,-327.995113594145
0.018,-327.662019943747
0.019,-327.328918998538
0.02,-326.995810276952
0.021,-326.662693272561
0.022,-326.329567453351
0.023,-325.996432261032
0.024,-325.663287110384
0.025,-325.330131388659
0.026,-324.996964455035
0.027,-324.663785640148
0.028,-324.330594245701
0.029,342.669277122497
0.03,-324.330598371801
0.031,342.669272672875
0.032,-324.330602482977
0.033,342.669268239345
0.034,-324.330606579285
0.035,342.669263821851
0.036,-324.330610660777
0.037,342.669259420333
0.038,-324.330614727507
0.039,342.669255034735
0.04,-324.33061877953
0.041,342.669250664998
0.042,-324.330622816897
0.043,342.669246311065
0.044,-324.330626839662
0.045,342.669241972879
0.046,-324.330630847878
0.047,342.669237650384
0.048,-324.330634841597
0.049,342.669233343521
0.05,-324.330638820872
0.051,342.669229052236
0.052,-324.330642785755
0.053,342.66922477647
0.054,-324.330646736298
0.055,342.669220516169
0.056,-324.330650672554
0.057,342.669216271277
0.058,-324.330654594572
0.059,342.669212041737
0.06,-324.330658502406
0.061,342.669207827494
0.062,-324.330662396107
0.063,342.669203628493
0.064,-324.330666275725
0.065,342.669199444678
0.066,-324.330670141311
0.067,342.669195275995
0.068,-324.330673992917
0.069,342.66919112239
0.07,-324.330677830592
0.071,342.669186983806
0.072,-324.330681654388
0.073,342.669182860191
0.074,-324.330685464354
0.075,342.66917875149
0.076,-324.33068926054
0.077,342.669174657649
0.078,-324.330693042996
0.079,342.669170578614
0.08,-324.330696811773
0.081,342.669166514332
0.082,-324.330700566919
0.083,342.669162464749
0.084,-324.330704308483
0.085,342.669158429813
0.086,-324.330708036515
0.087,342.669154409469
0.088,-324.330711751064
0.089,342.669150403667
0.09,-324.330715452179
0.091,342.669146412352
0.092,-324.330719139907
0.093,342.669142435473
0.094,-324.330722814298
0.095,342.669138472977
0.096,-324.3307264754
0.097,342.669134524812
0.098,-324.33073012326
0.099,342.669130590927
0.1,-324.330733757928
0.101,342.669126671269
0.102,-324.330737379449
0.103,342.669122765788
0.104,-324.330740987873
0.105,342.669118874432
0.106,-324.330744583246
0.107,342.66911499715
0.108,-324.330748165615
0.109,342.669111133891
0.11,-324.330751735028
0.111,342.669107284604
0.112,-324.330755291531
0.113,342.669103449239
0.114,-324.330758835171
0.115,342.669099627746
0.116,-324.330762365995
