0,0,0,0,0,0,0
0.001,7.2e-05,0.002752,0.4472,2.752,-0.447128,-2.749248
0.002,0.000144121191276392,0.102752,0.4472,2.752,-0.447055878808724,-2.649248
0.003,0.000223715271576039,0.202752,0.4472,2.752,-0.446976284728424,-2.549248
0.004,0.0003114759617507,0.302752,0.4472,2.752,-0.446888524038249,-2.449248
0.005,0.000408152945177209,0.402752,0.4472,2.752,-0.446791847054823,-2.349248
0.006,0.000514555643521515,0.502752,0.4472,2.752,-0.446685444356478,-2.249248
0.007,0.000631557188482712,0.602752,0.4472,2.752,-0.446568442811517,-2.149248
0.008,0.000760098595180233,0.702752,0.4472,2.752,-0.44643990140482,-2.049248
0.009,0.000901193142604616,0.802752,0.4472,2.752,-0.446298806857395,-1.949248
0.01,0.00105593096625161,0.902752,0.4472,2.752,-0.446144069033748,-1.849248
0.011,0.00122548386769449,1.002752,0.4472,2.752,-0.445974516132305,-1.749248
0.012,0.00141111034541308,1.102752,0.4472,2.752,-0.445788889654587,-1.649248
0.013,0.00161416085068203,1.202752,0.4472,2.752,-0.445585839149318,-1.549248
0.014,0.00183608327171762,1.302752,0.4472,2.752,-0.445363916728282,-1.449248
0.015,0.0020784286485814,1.402752,0.4472,2.752,-0.445121571351419,-1.349248
0.016,0.00234285712053136,1.502752,0.4472,2.752,-0.444857142879469,-1.249248
0.017,0.0026311441065856,1.602752,0.4472,2.752,-0.444568855893414,-1.149248
0.018,0.00294518671900799,1.702752,0.4472,2.752,-0.444254813280992,-1.049248
0.019,0.00328701040822794,1.802752,0.4472,2.752,-0.443912989591772,-0.949247999999999
0.02,0.00365877583635276,1.902752,0.4472,2.752,-0.443541224163647,-0.849247999999999
0.021,0.00406278597490812,2.002752,0.4472,2.752,-0.443137214025092,-0.749247999999999
0.022,0.00450149342073255,2.102752,0.4472,2.752,-0.442698506579267,-0.649247999999999
0.023,0.0049775079220414,2.202752,0.4472,2.752,-0.442222492077959,-0.549247999999999
0.024,0.00549360410454558,2.302752,0.4472,2.752,-0.441706395895454,-0.449247999999999
0.025,0.00605272938514253,2.402752,0.4472,2.752,-0.441147270614857,-0.349247999999999
0.026,0.00665801205807345,2.502752,0.4472,2.752,-0.440541987941927,-0.249247999999999
0.027,0.00731276953553986,2.602752,0.4472,2.752,-0.43988723046446,-0.149247999999999
0.028,0.00802051672157546,2.702752,0.4472,2.752,-0.439179483278425,-0.0492479999999986
0.029,0.00878497449445335,2.802752,0.4472,2.752,-0.438415025505547,0.0507520000000015
0.03,0.00961007826905294,2.702752,0.4472,2.752,-0.437589921730947,-0.0492479999999986
0.031,0.0103717086505632,2.802752,0.4472,2.752,-0.436828291349437,0.0507520000000015
0.032,0.0111938908043004,2.702752,0.4472,2.752,-0.4360061091957,-0.0492479999999986
0.033,0.0119527040203493,2.802752,0.4472,2.752,-0.435247295979651,0.0507520000000015
0.034,0.0127719751199331,2.702752,0.4472,2.752,-0.434428024880067,-0.0492479999999986
0.035,0.0135279813594428,2.802752,0.4472,2.752,-0.433672018640557,0.0507520000000015
0.036,0.0143443519333649,2.702752,0.4472,2.752,-0.432855648066635,-0.0492479999999986
0.037,0.0150975613484068,2.802752,0.4472,2.752,-0.432102438651593,0.0507520000000015
0.038,0.0159110418870806,2.702752,0.4472,2.752,-0.431288958112919,-0.0492479999999986
0.039,0.016661464593009,2.802752,0.4472,2.752,-0.430538535406991,0.0507520000000015
0.04,0.0174720655489067,2.702752,0.4472,2.752,-0.429727934451093,-0.0492479999999986
0.041,0.0182197116244912,2.802752,0.4472,2.752,-0.428980288375509,0.0507520000000015
0.042,0.0190274434122814,2.702752,0.4472,2.752,-0.428172556587719,-0.0492479999999986
0.043,0.0197723228998396,2.802752,0.4472,2.752,-0.42742767710016,0.0507520000000015
0.044,0.0205771958965237,2.702752,0.4472,2.752,-0.426622804103476,-0.0492479999999986
0.045,0.0213193188020528,2.802752,0.4472,2.752,-0.425880681197947,0.0507520000000015
0.046,0.0221213433471015,2.702752,0.4472,2.752,-0.425078656652899,-0.0492479999999986
0.047,0.0228607196404096,2.802752,0.4472,2.752,-0.42433928035959,0.0507520000000015
0.048,0.0236599060358986,2.702752,0.4472,2.752,-0.423540093964101,-0.0492479999999986
0.049,0.024396545650736,2.802752,0.4472,2.752,-0.422803454349264,0.0507520000000015
0.05,0.0251929041614811,2.702752,0.4472,2.752,-0.422007095838519,-0.0492479999999986
0.051,0.0259268169956702,2.802752,0.4472,2.752,-0.42127318300433,0.0507520000000015
0.052,0.0267203578493621,2.702752,0.4472,2.752,-0.420479642150638,-0.0492479999999986
0.053,0.0274515537649277,2.802752,0.4472,2.752,-0.419748446235072,0.0507520000000015
