Name,Books,"Books  ",Number Of Books,Related to Books Library  (Related to Gender (1) (Books  ) 2),Related to Books Library  (Related to Gender (1) (Books  ) 2) 1,Related to Books Library  (Related to Gender (1) (Books  ) 2) 2
"Relationship ",Total Books:,Untitled (https://www.notion.so/4e9280c10a0e42eea3bcacc5e168fc5c?pvs=21),,,Untitled (https://www.notion.so/1bfedf44cfc581b885eaef9bca6ffa9e?pvs=21),Untitled (https://www.notion.so/124edf44cfc58157b7a9c72c64d243f8?pvs=21)
"Political ",Total Books:,Untitled (https://www.notion.so/2a4a0a18ab4644b9974ab6c20910d494?pvs=21),,,Untitled (https://www.notion.so/1bfedf44cfc581598609ed951fe977bb?pvs=21),Untitled (https://www.notion.so/124edf44cfc581b1871fd4df05eb3084?pvs=21)
,Total Books:,,,,,
"Productivity ",Total Books:,"Untitled (https://www.notion.so/4575e7c06b98443eaca6af313c9d3c29?pvs=21), Untitled (https://www.notion.so/a50b5c4591a54712a6616c76c4a60b4f?pvs=21), Untitled (https://www.notion.so/f2df856deadd41c49ce0064e0d688cd4?pvs=21)",,,"Untitled (https://www.notion.so/1bfedf44cfc581378c84d900b732205a?pvs=21), Untitled (https://www.notion.so/1bfedf44cfc58165854be11ae315eac0?pvs=21), Untitled (https://www.notion.so/1bfedf44cfc581b48b77fac5b864cabf?pvs=21)","Untitled (https://www.notion.so/124edf44cfc58122abe8d7c1cab09da4?pvs=21), Untitled (https://www.notion.so/124edf44cfc5814cbaa3d49857172b78?pvs=21), Untitled (https://www.notion.so/124edf44cfc581739541ef8f81ee87ee?pvs=21)"
"Business ",Total Books:,Untitled (https://www.notion.so/77c0a4c6ee014609bf9b30e10ac53125?pvs=21),,,Untitled (https://www.notion.so/1bfedf44cfc581f8b581ca9cbb939340?pvs=21),Untitled (https://www.notion.so/124edf44cfc581b0be90d1a9726aa1f1?pvs=21)
"Economy ",Total Books:,Untitled (https://www.notion.so/ce6883235fd44fb09f4d95d14682e773?pvs=21),,,Untitled (https://www.notion.so/1bfedf44cfc581dca69ec27bb87e6b2f?pvs=21),Untitled (https://www.notion.so/124edf44cfc58129b638c7c265811327?pvs=21)
"Self Development ",Total Books:,Untitled (https://www.notion.so/f17f52811e5b478786b9b8691a71fed0?pvs=21),,,Untitled (https://www.notion.so/1bfedf44cfc5812782dcdb60c7a4e89e?pvs=21),Untitled (https://www.notion.so/124edf44cfc5814ea6dff25de035a9b0?pvs=21)
Money,Total Books:,Untitled (https://www.notion.so/0c019666bff447888b84fbf3097d171f?pvs=21),,,Untitled (https://www.notion.so/1bfedf44cfc58112b294e979c8157515?pvs=21),Untitled (https://www.notion.so/124edf44cfc581379bc1e9ee3ed3f91a?pvs=21)
